Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  235 | loss +0.0704 | reward 0.084 | solved   0.0%
step  236 | loss +0.1144 | reward 0.059 | solved   0.0%
step  237 | loss +0.0917 | reward 0.059 | solved   0.0%
step  238 | loss -0.0709 | reward 0.069 | solved   0.0%
step  239 | loss +0.0511 | reward 0.053 | solved   0.0%
step  240 | loss +0.0891 | reward 0.056 | solved   0.0%
step  241 | loss +0.0539 | reward 0.081 | solved   0.0%
step  242 | loss +0.2496 | reward 0.072 | solved   0.0%
step  243 | loss +0.1389 | reward 0.075 | solved   0.0%
step  244 | loss -0.0575 | reward 0.062 | solved   0.0%
step  245 | loss -0.0932 | reward 0.062 | solved   0.0%
step  246 | loss +0.0578 | reward 0.116 | solved   6.2%
step  247 | loss -0.0774 | reward 0.084 | solved   0.0%
step  248 | loss +0.0779 | reward 0.075 | solved   0.0%
step  249 | loss -0.0070 | reward 0.084 | solved   0.0%
step  250 | loss +0.0667 | reward 0.069 | solved   0.0%
step  251 | loss -0.0180 | reward 0.131 | solved   6.2%
step  252 | loss -0.0494 | reward 0.056 | solved   0.0%
step  253 | loss +0.1052 | reward 0.084 | solved   0.0%
step  254 | loss -0.0547 | reward 0.069 | solved   0.0%
step  255 | loss +0.0099 | reward 0.084 | solved   0.0%
step  256 | loss +0.1622 | reward 0.078 | solved   0.0%
step  257 | loss -0.0853 | reward 0.078 | solved   0.0%
step  258 | loss +0.0454 | reward 0.078 | solved   0.0%
step  259 | loss -0.0915 | reward 0.078 | solved   0.0%
step  260 | loss +0.1038 | reward 0.072 | solved   0.0%
step  261 | loss -0.2895 | reward 0.056 | solved   0.0%
step  262 | loss +0.0825 | reward 0.306 | solved  25.0%
step  263 | loss +0.0369 | reward 0.094 | solved   0.0%
step  264 | loss +0.1293 | reward 0.066 | solved   0.0%
step  265 | loss +0.1172 | reward 0.075 | solved   0.0%
step  266 | loss +0.0469 | reward 0.088 | solved   0.0%
step  267 | loss +0.1056 | reward 0.131 | solved   6.2%
step  268 | loss +0.1327 | reward 0.091 | solved   0.0%
step  269 | loss +0.0137 | reward 0.094 | solved   0.0%
step  270 | loss +0.1260 | reward 0.078 | solved   0.0%
step  271 | loss +0.0373 | reward 0.144 | solved   6.2%
step  272 | loss +0.0024 | reward 0.084 | solved   0.0%
step  273 | loss -0.0203 | reward 0.088 | solved   0.0%
step  274 | loss +0.1321 | reward 0.062 | solved   0.0%
step  275 | loss -0.0546 | reward 0.084 | solved   0.0%
step  276 | loss +0.1371 | reward 0.066 | solved   0.0%
step  277 | loss -0.0022 | reward 0.084 | solved   0.0%
step  278 | loss -0.0021 | reward 0.150 | solved   6.2%
step  279 | loss +0.0877 | reward 0.081 | solved   0.0%
step  280 | loss +0.1421 | reward 0.072 | solved   0.0%
step  281 | loss +0.2636 | reward 0.072 | solved   0.0%
step  282 | loss +0.1051 | reward 0.072 | solved   0.0%
step  283 | loss +0.0952 | reward 0.075 | solved   0.0%
step  284 | loss -0.0369 | reward 0.075 | solved   0.0%
step  285 | loss +0.0173 | reward 0.062 | solved   0.0%
step  286 | loss +0.1122 | reward 0.062 | solved   0.0%
step  287 | loss -0.0199 | reward 0.088 | solved   0.0%
step  288 | loss +0.0302 | reward 0.088 | solved   0.0%
step  289 | loss +0.1386 | reward 0.075 | solved   0.0%
step  290 | loss -0.0174 | reward 0.097 | solved   0.0%
step  291 | loss +0.0658 | reward 0.088 | solved   0.0%
step  292 | loss +0.0425 | reward 0.147 | solved   6.2%
step  293 | loss -0.0494 | reward 0.084 | solved   0.0%
step  294 | loss +0.0075 | reward 0.088 | solved   0.0%
step  295 | loss +0.0604 | reward 0.125 | solved   6.2%
step  296 | loss -0.0548 | reward 0.066 | solved   0.0%
step  297 | loss +0.0327 | reward 0.084 | solved   0.0%
step  298 | loss +0.0728 | reward 0.088 | solved   0.0%
step  299 | loss +0.0419 | reward 0.062 | solved   0.0%
  checkpoint saved -> model_lr3e6_g16 (step 300)
step  300 | loss +0.0915 | reward 0.094 | solved   0.0%
step  301 | loss +0.1432 | reward 0.078 | solved   0.0%
step  302 | loss +0.0485 | reward 0.097 | solved   0.0%
step  303 | loss +0.1117 | reward 0.066 | solved   0.0%
step  304 | loss +0.0844 | reward 0.172 | solved  12.5%
step  305 | loss +0.0149 | reward 0.091 | solved   0.0%
step  306 | loss -0.0413 | reward 0.069 | solved   0.0%
step  307 | loss +0.0149 | reward 0.081 | solved   0.0%
step  308 | loss +0.0861 | reward 0.097 | solved   0.0%
step  309 | loss +0.1223 | reward 0.075 | solved   0.0%
step  310 | loss +0.0747 | reward 0.053 | solved   0.0%
step  311 | loss -0.0380 | reward 0.075 | solved   0.0%
step  312 | loss +0.0966 | reward 0.094 | solved   0.0%
step  313 | loss -0.0186 | reward 0.084 | solved   0.0%
step  314 | loss -0.0558 | reward 0.081 | solved   0.0%
step  315 | loss +0.0293 | reward 0.144 | solved   6.2%
step  316 | loss -0.0013 | reward 0.059 | solved   0.0%
step  317 | loss +0.1139 | reward 0.081 | solved   0.0%
step  318 | loss -0.0151 | reward 0.084 | solved   0.0%
step  319 | loss +0.0907 | reward 0.059 | solved   0.0%
step  320 | loss +0.0577 | reward 0.094 | solved   0.0%
step  321 | loss +0.0351 | reward 0.144 | solved   6.2%
step  322 | loss +0.1384 | reward 0.144 | solved   6.2%
step  323 | loss +0.2194 | reward 0.072 | solved   0.0%
step  324 | loss -0.0066 | reward 0.088 | solved   0.0%
step  325 | loss +0.0597 | reward 0.125 | solved   6.2%
step  326 | loss +0.0444 | reward 0.259 | solved  18.8%
step  327 | loss +0.0361 | reward 0.088 | solved   0.0%
step  328 | loss +0.0095 | reward 0.100 | solved   0.0%
step  329 | loss +0.1384 | reward 0.088 | solved   0.0%
step  330 | loss +0.0202 | reward 0.091 | solved   0.0%
step  331 | loss +0.0243 | reward 0.088 | solved   0.0%
step  332 | loss +0.1063 | reward 0.072 | solved   0.0%
step  333 | loss +0.0875 | reward 0.084 | solved   0.0%
step  334 | loss +0.0494 | reward 0.094 | solved   0.0%
step  335 | loss +0.0625 | reward 0.122 | solved   6.2%
step  336 | loss +0.0414 | reward 0.094 | solved   0.0%
step  337 | loss +0.1060 | reward 0.084 | solved   0.0%
step  338 | loss +0.1821 | reward 0.075 | solved   0.0%
step  339 | loss +0.0470 | reward 0.144 | solved   6.2%
step  340 | loss +0.0080 | reward 0.100 | solved   0.0%
step  341 | loss -0.0787 | reward 0.078 | solved   0.0%
step  342 | loss -0.0397 | reward 0.084 | solved   0.0%
step  343 | loss +0.0875 | reward 0.088 | solved   0.0%
step  344 | loss -0.0042 | reward 0.141 | solved   6.2%
step  345 | loss +0.1566 | reward 0.059 | solved   0.0%
step  346 | loss +0.0246 | reward 0.091 | solved   0.0%
step  347 | loss +0.0938 | reward 0.059 | solved   0.0%
step  348 | loss +0.1143 | reward 0.088 | solved   0.0%
step  349 | loss -0.0029 | reward 0.069 | solved   0.0%
step  350 | loss -0.0570 | reward 0.081 | solved   0.0%
step  351 | loss +0.0434 | reward 0.091 | solved   0.0%
step  352 | loss -0.0210 | reward 0.075 | solved   0.0%
step  353 | loss +0.0248 | reward 0.091 | solved   0.0%
step  354 | loss +0.1137 | reward 0.072 | solved   0.0%
step  355 | loss +0.0785 | reward 0.081 | solved   0.0%
step  356 | loss +0.1139 | reward 0.091 | solved   0.0%
step  357 | loss +0.1872 | reward 0.066 | solved   0.0%
step  358 | loss +0.0668 | reward 0.094 | solved   0.0%
step  359 | loss -0.0490 | reward 0.097 | solved   0.0%
step  360 | loss -0.0340 | reward 0.072 | solved   0.0%
step  361 | loss -0.0529 | reward 0.091 | solved   0.0%
step  362 | loss +0.0833 | reward 0.097 | solved   0.0%
step  363 | loss +0.0535 | reward 0.375 | solved  31.2%
step  364 | loss +0.0315 | reward 0.088 | solved   0.0%
step  365 | loss +0.0560 | reward 0.131 | solved   6.2%
step  366 | loss +0.0736 | reward 0.094 | solved   0.0%
step  367 | loss +0.1242 | reward 0.084 | solved   0.0%
step  368 | loss +0.1360 | reward 0.088 | solved   0.0%
step  369 | loss +0.0702 | reward 0.428 | solved  37.5%
step  370 | loss +0.0499 | reward 0.253 | solved  18.8%
step  371 | loss +0.0788 | reward 0.088 | solved   0.0%
step  372 | loss +0.0502 | reward 0.097 | solved   0.0%
step  373 | loss -0.5161 | reward 0.059 | solved   0.0%
step  374 | loss +0.0576 | reward 0.097 | solved   0.0%
step  375 | loss -0.0485 | reward 0.088 | solved   0.0%
step  376 | loss +0.0168 | reward 0.100 | solved   0.0%
step  377 | loss +0.0905 | reward 0.081 | solved   0.0%
step  378 | loss +0.0550 | reward 0.088 | solved   0.0%
step  379 | loss +0.0095 | reward 0.100 | solved   0.0%
step  380 | loss +0.0109 | reward 0.269 | solved  18.8%
step  381 | loss +0.0495 | reward 0.147 | solved   6.2%
step  382 | loss -0.0512 | reward 0.091 | solved   0.0%
step  383 | loss +0.0966 | reward 0.088 | solved   0.0%
step  384 | loss +0.0728 | reward 0.078 | solved   0.0%
step  385 | loss +0.0161 | reward 0.153 | solved   6.2%
step  386 | loss -0.0076 | reward 0.197 | solved  12.5%
step  387 | loss +0.0621 | reward 0.056 | solved   0.0%
step  388 | loss +0.1038 | reward 0.091 | solved   0.0%
step  389 | loss +0.0853 | reward 0.250 | solved  18.8%
step  390 | loss +0.1309 | reward 0.066 | solved   0.0%
step  391 | loss +0.1214 | reward 0.094 | solved   0.0%
step  392 | loss +0.0345 | reward 0.144 | solved   6.2%
step  393 | loss +0.1197 | reward 0.087 | solved   0.0%
step  394 | loss +0.0154 | reward 0.144 | solved   6.2%
step  395 | loss +0.1526 | reward 0.075 | solved   0.0%
step  396 | loss +0.0512 | reward 0.078 | solved   0.0%
step  397 | loss +0.1078 | reward 0.081 | solved   0.0%
step  398 | loss -0.0242 | reward 0.053 | solved   0.0%
step  399 | loss +0.0379 | reward 0.081 | solved   0.0%
step  400 | loss +0.0267 | reward 0.075 | solved   0.0%
step  401 | loss +0.0063 | reward 0.091 | solved   0.0%
step  402 | loss +0.0061 | reward 0.087 | solved   0.0%
step  403 | loss +0.0772 | reward 0.084 | solved   0.0%
step  404 | loss +0.0643 | reward 0.119 | solved   6.2%
step  405 | loss +0.0853 | reward 0.069 | solved   0.0%
step  406 | loss +0.1155 | reward 0.084 | solved   0.0%
step  407 | loss +0.0169 | reward 0.150 | solved   6.2%
step  408 | loss +0.0750 | reward 0.062 | solved   0.0%
step  409 | loss +0.1600 | reward 0.072 | solved   0.0%
step  410 | loss +0.1254 | reward 0.075 | solved   0.0%
step  411 | loss +0.0238 | reward 0.200 | solved  12.5%
step  412 | loss +0.0974 | reward 0.094 | solved   0.0%
step  413 | loss -0.0166 | reward 0.069 | solved   0.0%
step  414 | loss -0.0684 | reward 0.069 | solved   0.0%
step  415 | loss -0.0638 | reward 0.075 | solved   0.0%
step  416 | loss -0.0521 | reward 0.081 | solved   0.0%
step  417 | loss -0.0174 | reward 0.078 | solved   0.0%
step  418 | loss -0.0610 | reward 0.081 | solved   0.0%
step  419 | loss +0.1607 | reward 0.081 | solved   0.0%
step  420 | loss +0.0288 | reward 0.094 | solved   0.0%
step  421 | loss -0.0445 | reward 0.075 | solved   0.0%
step  422 | loss +0.0838 | reward 0.122 | solved   6.2%
