Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
config | reward=dense | steps=1500 | group=8 | bsz=2 | lr=3e-06 | max_new_tokens=128 | out=model_dense
step  199 | loss +0.0087 | reward 0.129 | solved   0.0%
step  200 | loss -0.0091 | reward 0.107 | solved   0.0%
step  201 | loss +0.0275 | reward 0.169 | solved   0.0%
step  202 | loss -0.0184 | reward 0.053 | solved   0.0%
step  203 | loss +0.0237 | reward 0.104 | solved   0.0%
step  204 | loss -0.0125 | reward 0.047 | solved   0.0%
step  205 | loss +0.0097 | reward 0.149 | solved   6.2%
step  206 | loss -0.0288 | reward 0.057 | solved   0.0%
step  207 | loss +0.0902 | reward 0.074 | solved   0.0%
step  208 | loss -0.0150 | reward 0.059 | solved   0.0%
step  209 | loss +0.0166 | reward 0.120 | solved   0.0%
step  210 | loss -0.0037 | reward 0.120 | solved   0.0%
step  211 | loss +0.0202 | reward 0.092 | solved   0.0%
step  212 | loss +0.0043 | reward 0.125 | solved   0.0%
step  213 | loss +0.0039 | reward 0.050 | solved   0.0%
step  214 | loss +0.0200 | reward 0.136 | solved   0.0%
step  215 | loss +0.0375 | reward 0.182 | solved   0.0%
step  216 | loss +0.0075 | reward 0.050 | solved   0.0%
step  217 | loss +0.0574 | reward 0.050 | solved   0.0%
step  218 | loss +0.0085 | reward 0.261 | solved   0.0%
step  219 | loss -0.0403 | reward 0.056 | solved   0.0%
step  220 | loss +0.0125 | reward 0.185 | solved   0.0%
step  221 | loss +0.0392 | reward 0.073 | solved   0.0%
step  222 | loss +0.0388 | reward 0.044 | solved   0.0%
step  223 | loss +0.0373 | reward 0.158 | solved   0.0%
step  224 | loss +0.0323 | reward 0.095 | solved   0.0%
step  225 | loss +0.0308 | reward 0.053 | solved   0.0%
step  226 | loss +0.0175 | reward 0.083 | solved   0.0%
step  227 | loss +0.0133 | reward 0.102 | solved   0.0%
step  228 | loss -0.0149 | reward 0.054 | solved   0.0%
step  229 | loss +0.0146 | reward 0.181 | solved   0.0%
step  230 | loss +0.0025 | reward 0.050 | solved   0.0%
step  231 | loss +0.0320 | reward 0.051 | solved   0.0%
step  232 | loss -0.0012 | reward 0.166 | solved   0.0%
step  233 | loss -0.0072 | reward 0.058 | solved   0.0%
step  234 | loss -0.0144 | reward 0.056 | solved   0.0%
step  235 | loss +0.0189 | reward 0.066 | solved   0.0%
step  236 | loss +0.0196 | reward 0.138 | solved   6.2%
step  237 | loss -0.0009 | reward 0.157 | solved   0.0%
step  238 | loss +0.0216 | reward 0.106 | solved   6.2%
step  239 | loss -0.0033 | reward 0.066 | solved   0.0%
step  240 | loss -0.0125 | reward 0.080 | solved   0.0%
step  241 | loss +0.0441 | reward 0.050 | solved   0.0%
step  242 | loss +0.0053 | reward 0.050 | solved   0.0%
step  243 | loss +0.0158 | reward 0.118 | solved   0.0%
step  244 | loss +0.0356 | reward 0.199 | solved   0.0%
step  245 | loss +0.0056 | reward 0.059 | solved   0.0%
step  246 | loss +0.0381 | reward 0.092 | solved   0.0%
step  247 | loss +0.1138 | reward 0.066 | solved   0.0%
step  248 | loss +0.0393 | reward 0.050 | solved   0.0%
step  249 | loss +0.0193 | reward 0.118 | solved   0.0%
step  250 | loss +0.1068 | reward 0.081 | solved   0.0%
step  251 | loss +0.0188 | reward 0.267 | solved   0.0%
step  252 | loss +0.0169 | reward 0.161 | solved   0.0%
step  253 | loss +0.0052 | reward 0.121 | solved   0.0%
step  254 | loss +0.0559 | reward 0.299 | solved   6.2%
step  255 | loss -0.0277 | reward 0.056 | solved   0.0%
step  256 | loss +0.0229 | reward 0.066 | solved   0.0%
step  257 | loss +0.0943 | reward 0.047 | solved   0.0%
step  258 | loss +0.0121 | reward 0.179 | solved   0.0%
step  259 | loss +0.0032 | reward 0.050 | solved   0.0%
step  260 | loss +0.0039 | reward 0.050 | solved   0.0%
step  261 | loss +0.0426 | reward 0.126 | solved   6.2%
step  262 | loss -0.0253 | reward 0.063 | solved   0.0%
step  263 | loss +0.0332 | reward 0.085 | solved   0.0%
step  264 | loss +0.0324 | reward 0.097 | solved   0.0%
step  265 | loss +0.0233 | reward 0.142 | solved   0.0%
step  266 | loss +0.0459 | reward 0.089 | solved   0.0%
step  267 | loss +0.0421 | reward 0.097 | solved   0.0%
step  268 | loss +0.0164 | reward 0.082 | solved   0.0%
step  269 | loss +0.0515 | reward 0.113 | solved   0.0%
step  270 | loss +0.0723 | reward 0.170 | solved   0.0%
step  271 | loss +0.0314 | reward 0.047 | solved   0.0%
step  272 | loss +0.0610 | reward 0.149 | solved   0.0%
step  273 | loss +0.0177 | reward 0.047 | solved   0.0%
step  274 | loss +0.4245 | reward 0.047 | solved   0.0%
step  275 | loss -0.0122 | reward 0.079 | solved   0.0%
step  276 | loss +0.2186 | reward 0.147 | solved   0.0%
step  277 | loss +0.2982 | reward 0.160 | solved   0.0%
step  278 | loss +0.0225 | reward 0.116 | solved   0.0%
step  279 | loss +0.0075 | reward 0.095 | solved   0.0%
step  280 | loss +0.0780 | reward 0.090 | solved   0.0%
step  281 | loss +0.0405 | reward 0.271 | solved   6.2%
step  282 | loss +0.1778 | reward 0.118 | solved   0.0%
step  283 | loss +0.0208 | reward 0.097 | solved   0.0%
step  284 | loss -0.0367 | reward 0.057 | solved   0.0%
step  285 | loss -0.0731 | reward 0.069 | solved   0.0%
step  286 | loss +0.4731 | reward 0.047 | solved   0.0%
step  287 | loss +0.0457 | reward 0.158 | solved   0.0%
step  288 | loss +0.0232 | reward 0.231 | solved  12.5%
step  289 | loss -0.3592 | reward 0.172 | solved   0.0%
step  290 | loss +0.0405 | reward 0.057 | solved   0.0%
step  291 | loss +0.5668 | reward 0.090 | solved   0.0%
step  292 | loss +0.2742 | reward 0.054 | solved   0.0%
step  293 | loss +0.0171 | reward 0.053 | solved   0.0%
step  294 | loss +0.2786 | reward 0.113 | solved   0.0%
step  295 | loss -0.0420 | reward 0.055 | solved   0.0%
step  296 | loss +0.4389 | reward 0.190 | solved   0.0%
step  297 | loss +0.0232 | reward 0.119 | solved   6.2%
step  298 | loss -0.0258 | reward 0.061 | solved   0.0%
step  299 | loss +0.0872 | reward 0.061 | solved   0.0%
  checkpoint saved -> model_dense (step 300)
step  300 | loss -0.1245 | reward 0.047 | solved   0.0%
step  301 | loss +0.0837 | reward 0.106 | solved   6.2%
step  302 | loss +0.0230 | reward 0.060 | solved   0.0%
step  303 | loss +0.2452 | reward 0.114 | solved   0.0%
step  304 | loss +0.1154 | reward 0.152 | solved   0.0%
step  305 | loss +0.0400 | reward 0.086 | solved   0.0%
step  306 | loss +0.1473 | reward 0.098 | solved   0.0%
step  307 | loss +0.0294 | reward 0.247 | solved   0.0%
step  308 | loss +0.1066 | reward 0.124 | solved   0.0%
step  309 | loss +0.0114 | reward 0.050 | solved   0.0%
step  310 | loss +0.1270 | reward 0.109 | solved   0.0%
step  311 | loss +0.0443 | reward 0.140 | solved   0.0%
step  312 | loss +0.0603 | reward 0.081 | solved   0.0%
step  313 | loss +0.0498 | reward 0.115 | solved   0.0%
step  314 | loss +0.1148 | reward 0.063 | solved   0.0%
step  315 | loss +0.2313 | reward 0.056 | solved   0.0%
step  316 | loss -0.0401 | reward 0.103 | solved   0.0%
step  317 | loss +0.4006 | reward 0.181 | solved  12.5%
step  318 | loss +0.0091 | reward 0.189 | solved   0.0%
step  319 | loss +0.1122 | reward 0.098 | solved   0.0%
step  320 | loss +0.0332 | reward 0.075 | solved   0.0%
step  321 | loss +0.1980 | reward 0.271 | solved  12.5%
step  322 | loss +0.0652 | reward 0.063 | solved   0.0%
step  323 | loss +0.0288 | reward 0.177 | solved   6.2%
step  324 | loss -0.0216 | reward 0.053 | solved   0.0%
step  325 | loss +0.0648 | reward 0.290 | solved   0.0%
step  326 | loss +0.1028 | reward 0.249 | solved   6.2%
step  327 | loss +0.0316 | reward 0.189 | solved   0.0%
step  328 | loss +0.0997 | reward 0.170 | solved   0.0%
step  329 | loss +0.1776 | reward 0.103 | solved   0.0%
step  330 | loss +0.4505 | reward 0.131 | solved   0.0%
step  331 | loss +0.0251 | reward 0.127 | solved   0.0%
step  332 | loss +0.3338 | reward 0.171 | solved   0.0%
step  333 | loss +0.0120 | reward 0.213 | solved   0.0%
step  334 | loss +0.0010 | reward 0.254 | solved   0.0%
step  335 | loss +0.2147 | reward 0.103 | solved   0.0%
step  336 | loss -0.0135 | reward 0.135 | solved   0.0%
step  337 | loss -0.0650 | reward 0.074 | solved   0.0%
step  338 | loss -0.2965 | reward 0.173 | solved   6.2%
step  339 | loss +0.0078 | reward 0.290 | solved   0.0%
step  340 | loss -0.0065 | reward 0.128 | solved   0.0%
step  341 | loss +0.0264 | reward 0.108 | solved   0.0%
step  342 | loss -0.0084 | reward 0.218 | solved   0.0%
step  343 | loss -0.0054 | reward 0.075 | solved   0.0%
step  344 | loss +0.0287 | reward 0.364 | solved  12.5%
step  345 | loss +0.0630 | reward 0.078 | solved   0.0%
step  346 | loss -0.0292 | reward 0.078 | solved   0.0%
step  347 | loss +0.0317 | reward 0.063 | solved   0.0%
step  348 | loss +0.0781 | reward 0.196 | solved   0.0%
step  349 | loss +0.0294 | reward 0.171 | solved   0.0%
step  350 | loss +0.0133 | reward 0.164 | solved   6.2%
step  351 | loss +0.0599 | reward 0.125 | solved   0.0%
step  352 | loss +0.0114 | reward 0.081 | solved   0.0%
step  353 | loss +0.0429 | reward 0.159 | solved   6.2%
step  354 | loss +0.0485 | reward 0.139 | solved   0.0%
step  355 | loss +0.0727 | reward 0.090 | solved   0.0%
step  356 | loss +0.0267 | reward 0.136 | solved   0.0%
step  357 | loss +0.1301 | reward 0.077 | solved   0.0%
step  358 | loss -0.0286 | reward 0.136 | solved   0.0%
step  359 | loss +0.0337 | reward 0.081 | solved   0.0%
step  360 | loss +0.0775 | reward 0.077 | solved   0.0%
step  361 | loss +0.0470 | reward 0.082 | solved   0.0%
step  362 | loss +0.0619 | reward 0.463 | solved   0.0%
step  363 | loss -0.0451 | reward 0.088 | solved   0.0%
step  364 | loss +0.0583 | reward 0.142 | solved   0.0%
step  365 | loss -0.0039 | reward 0.231 | solved   0.0%
step  366 | loss +0.0209 | reward 0.351 | solved  18.8%
step  367 | loss +0.0160 | reward 0.167 | solved   6.2%
step  368 | loss -0.0235 | reward 0.156 | solved   0.0%
step  369 | loss +0.1378 | reward 0.094 | solved   0.0%
step  370 | loss +0.1525 | reward 0.066 | solved   0.0%
step  371 | loss -0.0017 | reward 0.182 | solved   0.0%
step  372 | loss -0.0087 | reward 0.187 | solved   0.0%
step  373 | loss +0.0321 | reward 0.225 | solved   0.0%
step  374 | loss +0.0146 | reward 0.063 | solved   0.0%
step  375 | loss +0.0033 | reward 0.161 | solved   6.2%
step  376 | loss +0.0290 | reward 0.074 | solved   0.0%
step  377 | loss +0.0783 | reward 0.129 | solved   0.0%
step  378 | loss +0.1006 | reward 0.063 | solved   0.0%
step  379 | loss +0.0836 | reward 0.314 | solved  25.0%
step  380 | loss -0.0423 | reward 0.153 | solved   0.0%
step  381 | loss +0.0020 | reward 0.300 | solved   0.0%
step  382 | loss +0.0051 | reward 0.053 | solved   0.0%
step  383 | loss +0.0834 | reward 0.158 | solved   0.0%
step  384 | loss -0.0003 | reward 0.091 | solved   0.0%
step  385 | loss +0.0609 | reward 0.253 | solved   6.2%
step  386 | loss +0.0685 | reward 0.246 | solved  12.5%
step  387 | loss +0.0501 | reward 0.104 | solved   0.0%
step  388 | loss +0.0180 | reward 0.114 | solved   0.0%
step  389 | loss -0.0364 | reward 0.331 | solved   6.2%
step  390 | loss +0.0483 | reward 0.192 | solved   0.0%
step  391 | loss +0.0629 | reward 0.240 | solved   0.0%
step  392 | loss +0.0138 | reward 0.365 | solved   6.2%
step  393 | loss +0.0346 | reward 0.111 | solved   0.0%
step  394 | loss +0.1030 | reward 0.073 | solved   0.0%
step  395 | loss +0.0240 | reward 0.231 | solved   0.0%
step  396 | loss -0.0274 | reward 0.093 | solved   0.0%
step  397 | loss +0.0375 | reward 0.394 | solved   0.0%
step  398 | loss +0.0207 | reward 0.307 | solved   6.2%
step  399 | loss +0.0602 | reward 0.127 | solved   6.2%
step  400 | loss +0.0729 | reward 0.129 | solved   6.2%
step  401 | loss -0.0996 | reward 0.078 | solved   0.0%
step  402 | loss +0.0270 | reward 0.223 | solved   0.0%
