Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  376 | loss +0.0481 | reward 0.078 | solved   0.0%
step  377 | loss +0.0368 | reward 0.091 | solved   0.0%
step  378 | loss +0.0284 | reward 0.091 | solved   0.0%
step  379 | loss +0.0699 | reward 0.303 | solved  25.0%
step  380 | loss -0.0548 | reward 0.081 | solved   0.0%
step  381 | loss -0.0233 | reward 0.097 | solved   0.0%
step  382 | loss -0.0620 | reward 0.072 | solved   0.0%
step  383 | loss -0.0491 | reward 0.097 | solved   0.0%
step  384 | loss -0.0028 | reward 0.066 | solved   0.0%
step  385 | loss +0.0589 | reward 0.259 | solved  18.8%
step  386 | loss +0.0130 | reward 0.200 | solved  12.5%
step  387 | loss -0.0315 | reward 0.088 | solved   0.0%
step  388 | loss +0.0481 | reward 0.075 | solved   0.0%
step  389 | loss +0.0425 | reward 0.094 | solved   0.0%
step  390 | loss +0.0766 | reward 0.084 | solved   0.0%
step  391 | loss +0.0932 | reward 0.084 | solved   0.0%
step  392 | loss +0.0337 | reward 0.206 | solved  12.5%
step  393 | loss +0.1055 | reward 0.150 | solved   6.2%
step  394 | loss +0.0810 | reward 0.072 | solved   0.0%
step  395 | loss +0.0125 | reward 0.091 | solved   0.0%
step  396 | loss +0.0196 | reward 0.081 | solved   0.0%
step  397 | loss +0.0640 | reward 0.084 | solved   0.0%
step  398 | loss +0.0620 | reward 0.078 | solved   0.0%
step  399 | loss +0.0922 | reward 0.422 | solved  37.5%
step  400 | loss +0.0937 | reward 0.081 | solved   0.0%
step  401 | loss +0.0249 | reward 0.094 | solved   0.0%
step  402 | loss +0.0329 | reward 0.263 | solved  18.8%
step  403 | loss +0.1091 | reward 0.084 | solved   0.0%
step  404 | loss +0.0194 | reward 0.206 | solved  12.5%
step  405 | loss +0.0148 | reward 0.263 | solved  18.8%
step  406 | loss +0.0638 | reward 0.144 | solved   6.2%
step  407 | loss +0.1405 | reward 0.078 | solved   0.0%
step  408 | loss -0.0263 | reward 0.091 | solved   0.0%
step  409 | loss +0.0220 | reward 0.088 | solved   0.0%
step  410 | loss +0.0499 | reward 0.097 | solved   0.0%
step  411 | loss +0.0094 | reward 0.097 | solved   0.0%
step  412 | loss +0.0312 | reward 0.088 | solved   0.0%
step  413 | loss +0.0873 | reward 0.084 | solved   0.0%
step  414 | loss +0.0581 | reward 0.088 | solved   0.0%
step  415 | loss +0.0489 | reward 0.188 | solved  12.5%
step  416 | loss +0.0689 | reward 0.088 | solved   0.0%
step  417 | loss +0.0501 | reward 0.094 | solved   0.0%
step  418 | loss +0.0168 | reward 0.100 | solved   0.0%
step  419 | loss +0.0358 | reward 0.434 | solved  37.5%
step  420 | loss +0.0091 | reward 0.156 | solved   6.2%
step  421 | loss +0.0163 | reward 0.094 | solved   0.0%
step  422 | loss +0.0778 | reward 0.147 | solved   6.2%
step  423 | loss +0.0658 | reward 0.094 | solved   0.0%
step  424 | loss +0.0398 | reward 0.097 | solved   0.0%
step  425 | loss +0.0510 | reward 0.372 | solved  31.2%
step  426 | loss +0.0094 | reward 0.088 | solved   0.0%
step  427 | loss +0.0092 | reward 0.100 | solved   0.0%
step  428 | loss +0.0196 | reward 0.134 | solved   6.2%
step  429 | loss +0.0408 | reward 0.091 | solved   0.0%
step  430 | loss +0.0241 | reward 0.100 | solved   0.0%
step  431 | loss +0.0147 | reward 0.100 | solved   0.0%
step  432 | loss +0.0020 | reward 0.078 | solved   0.0%
step  433 | loss +0.0144 | reward 0.213 | solved  12.5%
step  434 | loss +0.0252 | reward 0.088 | solved   0.0%
step  435 | loss +0.0190 | reward 0.088 | solved   0.0%
step  436 | loss +0.1092 | reward 0.078 | solved   0.0%
step  437 | loss +0.0521 | reward 0.088 | solved   0.0%
step  438 | loss -0.0484 | reward 0.081 | solved   0.0%
step  439 | loss -0.0246 | reward 0.141 | solved   6.2%
step  440 | loss +0.0467 | reward 0.091 | solved   0.0%
step  441 | loss -0.0218 | reward 0.091 | solved   0.0%
step  442 | loss +0.0484 | reward 0.072 | solved   0.0%
step  443 | loss +0.0372 | reward 0.094 | solved   0.0%
step  444 | loss -0.0211 | reward 0.097 | solved   0.0%
step  445 | loss +0.0206 | reward 0.081 | solved   0.0%
step  446 | loss +0.0725 | reward 0.075 | solved   0.0%
step  447 | loss +0.0147 | reward 0.091 | solved   0.0%
step  448 | loss +0.0451 | reward 0.091 | solved   0.0%
step  449 | loss +0.0900 | reward 0.088 | solved   0.0%
step  450 | loss +0.0354 | reward 0.078 | solved   0.0%
step  451 | loss +0.0151 | reward 0.156 | solved   6.2%
step  452 | loss +0.0574 | reward 0.091 | solved   0.0%
step  453 | loss +0.0168 | reward 0.084 | solved   0.0%
step  454 | loss +0.0838 | reward 0.094 | solved   0.0%
step  455 | loss +0.0191 | reward 0.081 | solved   0.0%
step  456 | loss +0.0555 | reward 0.078 | solved   0.0%
step  457 | loss +0.0290 | reward 0.091 | solved   0.0%
step  458 | loss -0.0157 | reward 0.097 | solved   0.0%
step  459 | loss +0.0013 | reward 0.078 | solved   0.0%
