Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  331 | loss -0.0197 | reward 0.097 | solved   0.0%
step  332 | loss +0.0712 | reward 0.147 | solved   6.2%
step  333 | loss +0.0133 | reward 0.081 | solved   0.0%
step  334 | loss +0.0463 | reward 0.078 | solved   0.0%
step  335 | loss +0.0640 | reward 0.081 | solved   0.0%
step  336 | loss +0.0453 | reward 0.087 | solved   0.0%
step  337 | loss -0.0076 | reward 0.075 | solved   0.0%
step  338 | loss +0.0528 | reward 0.081 | solved   0.0%
step  339 | loss +0.0384 | reward 0.097 | solved   0.0%
step  340 | loss +0.0126 | reward 0.088 | solved   0.0%
step  341 | loss +0.0190 | reward 0.266 | solved  18.8%
step  342 | loss +0.0480 | reward 0.094 | solved   0.0%
step  343 | loss +0.0634 | reward 0.141 | solved   6.2%
step  344 | loss +0.0675 | reward 0.600 | solved  56.2%
step  345 | loss +0.0141 | reward 0.084 | solved   0.0%
step  346 | loss +0.0145 | reward 0.091 | solved   0.0%
step  347 | loss +0.0657 | reward 0.088 | solved   0.0%
step  348 | loss +0.1360 | reward 0.088 | solved   0.0%
step  349 | loss +0.0702 | reward 0.094 | solved   0.0%
step  350 | loss +0.0853 | reward 0.081 | solved   0.0%
step  351 | loss +0.0430 | reward 0.072 | solved   0.0%
step  352 | loss +0.0151 | reward 0.131 | solved   6.2%
step  353 | loss +0.0600 | reward 0.263 | solved  18.8%
step  354 | loss +0.0419 | reward 0.259 | solved  18.8%
step  355 | loss +0.0108 | reward 0.072 | solved   0.0%
step  356 | loss +0.0733 | reward 0.088 | solved   0.0%
step  357 | loss +0.0125 | reward 0.091 | solved   0.0%
step  358 | loss +0.0121 | reward 0.094 | solved   0.0%
step  359 | loss +0.0044 | reward 0.259 | solved  18.8%
step  360 | loss +0.1080 | reward 0.088 | solved   0.0%
step  361 | loss +0.0684 | reward 0.141 | solved   6.2%
step  362 | loss +0.0485 | reward 0.491 | solved  43.8%
step  363 | loss +0.0039 | reward 0.131 | solved   6.2%
step  364 | loss +0.0872 | reward 0.084 | solved   0.0%
step  365 | loss -0.0083 | reward 0.091 | solved   0.0%
step  366 | loss +0.0116 | reward 0.213 | solved  12.5%
step  367 | loss +0.0112 | reward 0.100 | solved   0.0%
step  368 | loss +0.0236 | reward 0.206 | solved  12.5%
step  369 | loss +0.0474 | reward 0.147 | solved   6.2%
step  370 | loss +0.0116 | reward 0.256 | solved  18.8%
step  371 | loss -0.0138 | reward 0.088 | solved   0.0%
step  372 | loss +0.0641 | reward 0.134 | solved   6.2%
step  373 | loss +0.0170 | reward 0.100 | solved   0.0%
step  374 | loss -0.0083 | reward 0.081 | solved   0.0%
step  375 | loss +0.0442 | reward 0.091 | solved   0.0%
step  376 | loss +0.0597 | reward 0.066 | solved   0.0%
step  377 | loss +0.0417 | reward 0.094 | solved   0.0%
step  378 | loss -0.0014 | reward 0.084 | solved   0.0%
step  379 | loss +0.0912 | reward 0.428 | solved  37.5%
step  380 | loss +0.0124 | reward 0.088 | solved   0.0%
step  381 | loss +0.0054 | reward 0.091 | solved   0.0%
step  382 | loss -0.0308 | reward 0.066 | solved   0.0%
step  383 | loss +0.0390 | reward 0.088 | solved   0.0%
step  384 | loss +0.2768 | reward 0.069 | solved   0.0%
step  385 | loss +0.0487 | reward 0.138 | solved   6.2%
step  386 | loss +0.0712 | reward 0.309 | solved  25.0%
step  387 | loss +0.0542 | reward 0.081 | solved   0.0%
step  388 | loss +0.0389 | reward 0.084 | solved   0.0%
step  389 | loss +0.0562 | reward 0.075 | solved   0.0%
step  390 | loss +0.1004 | reward 0.075 | solved   0.0%
step  391 | loss +0.1022 | reward 0.078 | solved   0.0%
step  392 | loss +0.0607 | reward 0.075 | solved   0.0%
step  393 | loss +0.1157 | reward 0.244 | solved  18.8%
step  394 | loss +0.0842 | reward 0.050 | solved   0.0%
step  395 | loss +0.0413 | reward 0.084 | solved   0.0%
step  396 | loss +0.0105 | reward 0.075 | solved   0.0%
step  397 | loss +0.0356 | reward 0.072 | solved   0.0%
step  398 | loss +0.1020 | reward 0.084 | solved   0.0%
step  399 | loss +0.0321 | reward 0.237 | solved  18.8%
step  400 | loss +0.0806 | reward 0.134 | solved   6.2%
step  401 | loss +0.2136 | reward 0.059 | solved   0.0%
step  402 | loss +0.0617 | reward 0.309 | solved  25.0%
step  403 | loss +0.1973 | reward 0.081 | solved   0.0%
step  404 | loss +0.0903 | reward 0.191 | solved  12.5%
step  405 | loss +0.0010 | reward 0.181 | solved  12.5%
step  406 | loss +0.3283 | reward 0.138 | solved   6.2%
step  407 | loss +0.0260 | reward 0.153 | solved   6.2%
