Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  196 | loss +0.0194 | reward 0.047 | solved   0.0%
step  197 | loss +0.0318 | reward 0.053 | solved   0.0%
step  198 | loss +0.0699 | reward 0.081 | solved   0.0%
step  199 | loss +0.0132 | reward 0.138 | solved   6.2%
  checkpoint saved -> model (step 200)
step  200 | loss -0.0054 | reward 0.056 | solved   0.0%
step  201 | loss +0.0223 | reward 0.059 | solved   0.0%
step  202 | loss +0.0216 | reward 0.050 | solved   0.0%
step  203 | loss +0.0138 | reward 0.053 | solved   0.0%
step  204 | loss -0.0036 | reward 0.047 | solved   0.0%
step  205 | loss +0.0583 | reward 0.059 | solved   0.0%
step  206 | loss +0.0408 | reward 0.066 | solved   0.0%
step  207 | loss -0.0132 | reward 0.056 | solved   0.0%
step  208 | loss +0.0213 | reward 0.041 | solved   0.0%
step  209 | loss +0.1188 | reward 0.056 | solved   0.0%
step  210 | loss +0.0367 | reward 0.066 | solved   0.0%
step  211 | loss +0.2814 | reward 0.056 | solved   0.0%
step  212 | loss +0.0791 | reward 0.062 | solved   0.0%
step  213 | loss +0.0841 | reward 0.056 | solved   0.0%
step  214 | loss +0.0680 | reward 0.059 | solved   0.0%
step  215 | loss +0.0417 | reward 0.075 | solved   0.0%
step  216 | loss +0.0025 | reward 0.050 | solved   0.0%
step  217 | loss +0.0028 | reward 0.050 | solved   0.0%
step  218 | loss +0.6127 | reward 0.075 | solved   0.0%
step  219 | loss -0.0068 | reward 0.056 | solved   0.0%
step  220 | loss +0.0420 | reward 0.081 | solved   0.0%
step  221 | loss +0.0470 | reward 0.066 | solved   0.0%
step  222 | loss +0.0003 | reward 0.047 | solved   0.0%
step  223 | loss +0.0490 | reward 0.066 | solved   0.0%
step  224 | loss +0.0552 | reward 0.056 | solved   0.0%
step  225 | loss +0.0316 | reward 0.053 | solved   0.0%
step  226 | loss +0.0524 | reward 0.062 | solved   0.0%
step  227 | loss -0.0011 | reward 0.053 | solved   0.0%
step  228 | loss +0.3866 | reward 0.062 | solved   0.0%
step  229 | loss +0.0494 | reward 0.062 | solved   0.0%
step  230 | loss +0.0371 | reward 0.050 | solved   0.0%
step  231 | loss -0.0010 | reward 0.050 | solved   0.0%
step  232 | loss -0.0114 | reward 0.062 | solved   0.0%
step  233 | loss -0.0096 | reward 0.047 | solved   0.0%
step  234 | loss +0.0096 | reward 0.059 | solved   0.0%
step  235 | loss +0.0493 | reward 0.047 | solved   0.0%
step  236 | loss +0.0066 | reward 0.078 | solved   0.0%
step  237 | loss +0.1085 | reward 0.056 | solved   0.0%
step  238 | loss +0.0467 | reward 0.044 | solved   0.0%
step  239 | loss -0.0028 | reward 0.053 | solved   0.0%
step  240 | loss +0.6839 | reward 0.050 | solved   0.0%
step  241 | loss +0.1308 | reward 0.103 | solved   6.2%
step  242 | loss +0.5978 | reward 0.047 | solved   0.0%
step  243 | loss +0.0522 | reward 0.056 | solved   0.0%
step  244 | loss +0.0550 | reward 0.066 | solved   0.0%
step  245 | loss +0.0144 | reward 0.047 | solved   0.0%
step  246 | loss +0.0488 | reward 0.066 | solved   0.0%
step  247 | loss -0.0438 | reward 0.075 | solved   0.0%
step  248 | loss +0.0190 | reward 0.050 | solved   0.0%
step  249 | loss +0.1869 | reward 0.056 | solved   0.0%
step  250 | loss +0.0644 | reward 0.072 | solved   0.0%
step  251 | loss +0.2613 | reward 0.075 | solved   0.0%
step  252 | loss +0.0542 | reward 0.088 | solved   0.0%
step  253 | loss +0.4281 | reward 0.059 | solved   0.0%
step  254 | loss +0.0239 | reward 0.050 | solved   0.0%
step  255 | loss -0.0703 | reward 0.047 | solved   0.0%
step  256 | loss +0.0353 | reward 0.119 | solved   6.2%
step  257 | loss +0.0031 | reward 0.044 | solved   0.0%
step  258 | loss +0.6869 | reward 0.066 | solved   0.0%
step  259 | loss +0.0027 | reward 0.050 | solved   0.0%
step  260 | loss -0.0203 | reward 0.047 | solved   0.0%
step  261 | loss +0.0030 | reward 0.050 | solved   0.0%
step  262 | loss -0.0441 | reward 0.050 | solved   0.0%
step  263 | loss +0.0428 | reward 0.056 | solved   0.0%
step  264 | loss +0.0368 | reward 0.059 | solved   0.0%
step  265 | loss +0.0937 | reward 0.059 | solved   0.0%
step  266 | loss -0.0309 | reward 0.041 | solved   0.0%
step  267 | loss +0.0397 | reward 0.109 | solved   6.2%
step  268 | loss +0.1521 | reward 0.109 | solved   6.2%
step  269 | loss +0.0529 | reward 0.069 | solved   0.0%
step  270 | loss +0.0211 | reward 0.109 | solved   6.2%
